,City Name,Country,Latitude,Longitude,Maximum Temperature (d/c),Humidity (%),Cloudiness (%),Wind Speed (km/h),Date
357,Cravo Norte,CO,6.3017,-70.2041,24.59,83,100,0.82,1651841280
358,Otane,NZ,-39.8833,176.6333,11.12,94,0,0.67,1651841280
359,Port Moresby,PG,-9.4431,147.1797,25.68,94,40,1.54,1651841280
360,Riohacha,CO,11.5444,-72.9072,26.06,89,75,1.54,1651841281
361,Sandwick,GB,60.0,-1.25,10.9,87,75,8.23,1651841281
362,Amberley,US,39.2048,-84.428,16.15,95,100,1.54,1651841281
363,Omboué,GA,-1.5746,9.2618,28.75,78,100,2.94,1651841282
364,Yumen,CN,40.2833,97.2,20.3,18,100,10.43,1651841282
365,Sawākin,SD,19.1059,37.3321,30.53,48,0,6.72,1651841283
366,Fuyu,CN,45.1833,124.8167,10.62,21,100,3.36,1651841283
367,Ascona,CH,46.1545,8.7733,16.99,79,75,2.06,1651841284
368,Namatanai,PG,-3.6667,152.4333,26.72,83,96,4.19,1651841285
369,Norwich,GB,52.6278,1.2983,22.23,40,20,4.63,1651841145
370,Semey,KZ,50.4111,80.2275,24.12,23,0,5.0,1651841285
371,Nabire,ID,-3.3667,135.4833,25.96,88,60,1.18,1651841285
372,Lagoa,PT,39.05,-27.9833,14.77,87,100,4.08,1651841286
373,Conde,BR,-7.2597,-34.9075,25.7,94,100,5.66,1651841286
374,Visby,SE,57.6409,18.296,16.7,62,0,6.17,1651841286
375,Jennings,US,38.7192,-90.2604,12.72,96,100,4.12,1651841287
376,Cap Malheureux,MU,-19.9842,57.6142,26.37,69,69,4.47,1651841287
377,Sinnamary,GF,5.3833,-52.95,26.81,85,99,4.28,1651841287
378,Camopi,GF,3.1655,-52.3158,28.37,73,96,1.09,1651841288
379,Baker City,US,44.7749,-117.8344,10.89,69,20,8.23,1651841288
380,Medicine Hat,CA,50.0501,-110.6683,10.68,57,0,8.23,1651841288
381,Hamilton,US,39.1834,-84.5333,16.53,97,100,3.6,1651841289
382,Monrovia,LR,6.3005,-10.7969,28.42,75,100,3.19,1651841289
383,Hambantota,LK,6.1241,81.1185,31.19,74,75,4.12,1651841289
384,Puerto Rondón,CO,6.2805,-71.1,23.97,85,100,1.06,1651841290
385,Aklavik,CA,68.2191,-135.0107,-6.25,88,100,1.95,1651841290
386,Havelock,US,34.8791,-76.9013,22.97,91,100,1.54,1651841290
387,Vanavara,RU,60.34,102.2797,3.29,90,40,1.68,1651841291
388,Giaveno,IT,45.047,7.3492,13.21,83,100,0.72,1651841291
389,Harper,LR,4.375,-7.7169,29.18,70,100,3.62,1651841291
390,Ukwā,IN,21.9667,80.4667,33.14,15,2,1.36,1651841292
391,Maksi,IN,23.2667,76.15,38.58,12,47,3.97,1651841292
392,De Aar,ZA,-30.6497,24.0123,23.15,23,6,8.13,1651841292
393,Doumé,CM,4.2333,13.45,32.85,39,100,0.59,1651841293
394,Port-Gentil,GA,-0.7193,8.7815,28.06,78,100,4.18,1651841293
395,Saint-Philippe,RE,-21.3585,55.7679,26.77,81,61,7.52,1651841293
396,Tazovsky,RU,67.4667,78.7,-8.02,90,99,1.79,1651841294
397,Chern',RU,53.4523,36.9145,12.69,44,63,3.42,1651841295
398,Pangkalanbuun,ID,-2.6833,111.6167,24.82,96,100,0.99,1651841295
399,Río Gallegos,AR,-51.6226,-69.2181,2.03,80,0,5.14,1651841300
400,Ulaangom,MN,49.9811,92.0667,14.58,23,6,1.31,1651841301
401,Mackenzie,CA,55.2999,-123.1698,3.12,93,100,2.06,1651841301
402,Poum,NC,-20.2333,164.0167,25.19,75,0,8.41,1651841301
403,Half Moon Bay,US,37.4636,-122.4286,14.99,90,100,3.09,1651841302
404,Longyearbyen,SJ,78.2186,15.6401,-3.09,74,75,1.54,1651841302
405,Portland,US,45.5234,-122.6762,10.99,94,100,0.45,1651841303
406,Göksun,TR,38.021,36.4973,7.9,73,100,4.3,1651841304
407,Sterling,US,39.0062,-77.4286,14.83,96,100,4.12,1651841304
408,Flagstaff,US,35.1981,-111.6513,12.45,30,31,0.45,1651841305
409,Sukhodol,RU,53.9006,51.2117,9.54,38,96,4.85,1651841305
410,Orlovskiy,RU,46.8714,42.0592,12.92,38,100,7.82,1651841305
411,Nehe,CN,48.4833,124.8333,5.78,50,72,2.89,1651841305
412,Nuevitas,CU,21.5453,-77.2644,26.07,79,3,1.7,1651841306
413,Zhuanghe,CN,39.7008,122.9911,12.7,71,100,2.42,1651841306
414,São Félix do Xingu,BR,-6.6447,-51.995,28.3,69,11,0.96,1651841306
415,Reyes,BO,-14.3167,-67.3833,20.09,94,1,0.0,1651841307
416,Vyazemskiy,RU,47.5378,134.7525,6.52,54,5,3.54,1651841307
417,Shache,CN,38.4167,77.2406,29.55,17,77,2.3,1651841307
418,Souillac,MU,-20.5167,57.5167,26.21,69,75,6.69,1651841308
419,Preobrazheniye,RU,42.9019,133.9064,10.54,90,100,2.48,1651841308
420,Neiafu,TO,-18.65,-173.9833,22.38,100,20,0.0,1651841308
421,Lujiang,CN,31.2581,117.2817,23.7,52,0,2.23,1651841309
422,Lerwick,GB,60.1545,-1.1494,11.0,89,94,8.02,1651841309
423,Murovani Kurylivtsi,UA,48.7235,27.5189,17.94,36,9,4.51,1651841309
424,Ahmadpur,IN,18.7,76.9333,38.76,11,13,4.0,1651841310
425,Mēga,ET,4.05,38.3,20.76,64,70,4.67,1651841310
426,Ojinaga,MX,29.5667,-104.4167,19.12,20,0,1.54,1651841310
427,Tiznit Province,MA,29.5833,-9.5,30.42,13,0,6.09,1651841311
428,Sühbaatar,MN,50.2314,106.2078,10.84,27,100,2.26,1651841311
429,Santiago,CL,-33.4569,-70.6483,21.66,41,0,2.06,1651841311
430,Ipilan,PH,8.8431,117.9033,27.3,83,100,4.15,1651841312
431,Enshi,CN,30.3,109.4833,22.47,74,100,1.4,1651841312
432,Olafsvik,IS,64.8945,-23.7142,2.82,54,78,7.05,1651841312
433,Eureka,US,40.8021,-124.1637,14.55,76,100,4.21,1651841313
434,Progreso,MX,21.2833,-89.6667,25.62,81,87,5.7,1651841313
435,Lugovoy,KZ,42.9472,72.7644,19.86,67,100,5.18,1651841313
436,Kota Belud,MY,6.351,116.4305,26.28,90,100,2.21,1651841314
437,Lima,PE,-12.0432,-77.0282,19.39,81,17,2.57,1651841314
438,Chara,RU,56.9064,118.2631,-0.89,72,15,1.82,1651841314
439,Bowen,AU,-20.0167,148.2333,23.77,89,100,3.63,1651841315
440,Liaozhong,CN,41.5061,122.7242,13.56,16,3,2.2,1651841315
441,Conceição do Araguaia,BR,-8.2578,-49.2647,29.01,69,88,1.26,1651841315
442,Manohar Thāna,IN,24.24,76.8018,37.06,16,90,1.65,1651841321
443,Acarí,PE,-15.4311,-74.6158,20.92,78,61,1.61,1651841322
444,Dunedin,NZ,-45.8742,170.5036,13.22,88,95,1.39,1651841201
445,Sairang,IN,23.8,92.6667,25.73,75,45,0.51,1651841323
446,Alghero,IT,40.5589,8.3181,15.05,100,75,3.6,1651841323
447,Kirgiz-Miyaki,RU,53.6324,54.7979,7.75,35,99,6.17,1651841324
448,Alyangula,AU,-13.8483,136.4192,23.93,78,8,1.03,1651841140
449,Ouégoa,NC,-20.35,164.4333,23.8,81,0,6.18,1651841324
450,Madimba,TZ,-10.4,40.3333,30.62,66,40,7.72,1651841325
451,Alta Floresta,BR,-9.8756,-56.0861,27.9,69,0,2.57,1651841325
452,Mount Gambier,AU,-37.8333,140.7667,8.95,87,100,2.57,1651841325
453,Gizo Government Station,SB,-8.103,156.8419,28.4,75,86,2.01,1651841325
454,North Adams,US,42.7009,-73.1087,13.7,43,75,0.45,1651841326
455,Sur,OM,22.5667,59.5289,33.09,45,0,6.51,1651841326
456,Kango,GA,0.1943,10.0951,29.29,78,98,2.19,1651841327
457,Qaqortoq,GL,60.7167,-46.0333,1.98,95,100,3.98,1651841327
458,Bilma,NE,18.6853,12.9164,42.12,6,60,6.36,1651841327
459,Salekhard,RU,66.53,66.6019,-5.34,78,4,3.27,1651841328
460,Zhangjiakou,CN,40.81,114.8794,13.47,14,79,5.26,1651841244
461,Phan Thiet,VN,10.9333,108.1,26.86,82,24,5.02,1651841328
462,Bahía Blanca,AR,-38.7196,-62.2724,15.94,50,0,1.89,1651841329
463,Baruun-Urt,MN,46.6806,113.2792,4.28,21,0,2.06,1651841329
464,Xiongzhou,CN,25.1167,114.3,24.23,75,100,1.1,1651841329
465,Beringovskiy,RU,63.05,179.3167,-10.85,96,41,2.15,1651841329
466,Zhuhai,CN,22.2769,113.5678,25.88,78,20,4.12,1651841143
467,Andros Town,BS,24.7,-77.7667,24.98,73,0,3.03,1651841330
468,Nobres,BR,-14.7203,-56.3275,22.37,47,0,1.14,1651841330
469,Ząbkowice Śląskie,PL,50.5897,16.8124,17.86,66,100,2.77,1651841331
470,Guatire,VE,10.4762,-66.5427,28.16,90,100,1.51,1651841331
471,Tezu,IN,27.9167,96.1667,25.55,67,7,1.78,1651841331
472,Ibrā’,OM,22.6906,58.5334,38.24,8,0,6.97,1651841331
473,Sechura,PE,-5.5569,-80.8222,20.02,78,7,5.0,1651841332
474,Olden,NO,61.8364,6.8064,11.41,100,100,4.11,1651841332
475,Nemuro,JP,43.3236,145.575,7.27,91,62,7.6,1651841333
476,Debre Birhan,ET,9.6833,39.5333,21.3,21,19,8.12,1651841333
477,Mungwi,ZM,-10.1732,31.3694,24.06,55,83,2.7,1651841334
478,Saldanha,ZA,-33.0117,17.9442,15.03,82,99,4.47,1651841334
479,Porto Empedocle,IT,37.2934,13.5264,17.4,86,99,5.49,1651841334
480,Nchelenge,ZM,-9.3451,28.734,25.68,60,78,2.88,1651841335
481,Srednekolymsk,RU,67.45,153.6833,-0.65,99,100,2.62,1651841335
482,Evensk,RU,61.95,159.2333,-0.9,98,100,6.68,1651841335
483,Finschhafen,PG,-6.6024,147.8681,26.73,84,100,2.22,1651841336
484,Leiyang,CN,26.4024,112.8591,25.23,70,100,2.1,1651841336
485,Querecotillo,PE,-4.8378,-80.6456,22.87,68,12,2.56,1651841336
486,Mahajanga,MG,-15.7167,46.3167,34.01,43,20,3.09,1651841336
487,Taoudenni,ML,22.6783,-3.9836,38.26,7,0,2.06,1651841342
488,Tomohon,ID,1.3346,124.8392,22.52,94,40,0.8,1651841342
489,Moram,IN,17.8,76.4667,38.49,11,57,5.14,1651841342
490,Ucluelet,CA,48.9329,-125.5528,5.05,89,100,1.4,1651841343
491,Concarneau,FR,47.875,-3.9225,21.01,66,98,3.59,1651841343
492,Seryshevo,RU,51.0933,128.3786,5.28,42,13,6.09,1651841344
493,Puerto del Rosario,ES,28.5004,-13.8627,21.86,73,0,6.17,1651841344
494,Benton Harbor,US,42.1167,-86.4542,11.06,92,100,4.12,1651841344
495,Sept-Îles,CA,50.2001,-66.3821,2.29,55,75,4.63,1651841345
496,Hūn,LY,29.1268,15.9477,37.09,7,97,5.0,1651841350
497,Ladysmith,CA,48.9829,-123.8194,8.51,92,100,3.58,1651841350
498,Byron Bay,AU,-28.65,153.6167,19.94,90,100,2.26,1651841350
499,Cayenne,GF,4.9333,-52.3333,25.61,1,75,2.24,1651841350
500,Kumul,CN,42.8,93.45,27.48,19,100,3.74,1651841351
501,Madridejos,ES,39.4682,-3.532,20.41,28,0,4.38,1651841351
502,Henties Bay,NA,-22.116,14.2845,19.68,67,9,6.05,1651841352
503,Kavaratti,IN,10.5669,72.642,29.49,70,100,5.01,1651841352
504,High Prairie,CA,55.4334,-116.4858,8.01,97,100,2.32,1651841352
505,Chimbote,PE,-9.0853,-78.5783,17.97,90,78,2.21,1651841353
506,Nurota,UZ,40.5614,65.6886,28.1,31,100,2.02,1651841353
507,Madang,PG,-5.2246,145.7966,26.22,86,78,0.65,1651841353
508,Karapyshi,UA,49.6424,30.79,16.27,42,20,3.24,1651841354
509,Tiksi,RU,71.6872,128.8694,-1.97,82,100,7.32,1651841305
510,Kenai,US,60.5544,-151.2583,4.49,90,100,3.09,1651841354
511,Mugeni,RO,46.25,25.2167,20.2,43,9,2.08,1651841354
512,Weymouth,US,42.2209,-70.9398,15.02,54,100,2.06,1651841355
513,Mt. Pleasant,US,32.7941,-79.8626,26.14,80,0,3.6,1651841355
514,Ambulu,ID,-8.345,113.6058,25.5,91,45,1.68,1651841355
515,Lucapa,AO,-8.4192,20.7447,30.26,39,95,2.14,1651841356
